actor_id,bacon_number,intermediary
1,3,1753
2,4,1554
3,,
4,3,2013
5,3,4702
6,4,2639
7,4,1781
8,,
9,,
10,4,726
11,3,3255
12,4,1386
13,2,1138
14,3,3296
15,2,1946
16,3,2647
17,3,3666
18,5,3782
19,,
20,5,2308
21,4,2440
22,3,4651
23,4,2125
24,3,4296
25,4,2769
26,4,1469
27,2,463
28,2,4666
29,3,2384
30,3,2039
31,4,3079
32,,
33,,
34,3,3477
35,,
36,3,2550
37,,
38,4,2493
39,5,4612
40,2,2551
41,3,2664
42,,
43,,
44,3,4296
45,5,1552
46,3,4874
47,,
48,3,1113
49,6,4854
50,2,4029
51,4,3936
52,2,3246
53,2,1138
54,4,3961
55,3,3293
56,5,4028
57,5,266
58,3,2966
59,4,2336
60,,
61,,
62,6,3834
63,3,2031
64,4,4062
65,4,587
66,4,378
67,4,2321
68,3,4941
69,2,2551
70,3,3316
71,3,4296
72,4,4101
73,3,1591
74,2,4029
75,4,4052
76,3,573
77,3,1113
78,,
79,,
80,3,4350
81,3,1317
82,4,2440
83,1,2720
84,4,2839
85,5,4074
86,4,4907
87,4,3073
88,3,3414
89,4,2125
90,,
91,4,3768
92,3,3477
93,4,4181
94,4,662
95,4,2919
96,3,3891
97,5,2717
98,2,4666
99,3,2192
100,3,4296
101,3,857
102,,
103,5,2717
104,4,4433
105,3,2796
106,3,3414
107,,
108,3,3363
109,6,4841
110,4,2398
111,3,3285
112,3,3426
113,3,3720
114,4,2079
115,4,2492
116,5,3474
117,3,2681
118,3,1753
119,3,2346
120,5,4552
121,5,678
122,,
123,,
124,4,955
125,,
126,,
127,4,16
128,,
129,4,1350
130,,
131,3,4872
132,3,2031
133,2,1092
134,3,923
135,4,3205
136,3,2702
137,5,3052
138,3,934
139,3,4808
140,6,2714
141,4,770
142,3,2436
143,2,2747
144,3,2346
145,3,4305
146,,
147,3,3340
148,3,1753
149,3,1516
150,3,3177
151,3,1258
152,3,185
153,3,2449
154,2,2724
155,2,4029
156,,
157,5,678
158,3,650
159,5,2717
160,3,4523
161,,
162,,
163,3,460
164,2,83
165,,
166,4,1417
167,4,3367
168,,
169,4,1800
170,,
171,6,3110
172,4,4036
173,3,3717
174,3,725
175,4,3073
176,4,3800
177,3,2751
178,3,232
179,3,4523
180,4,3796
181,4,691
182,,
183,4,3768
184,3,2994
185,2,2724
186,4,3660
187,,
188,2,775
189,4,4466
190,2,3246
191,6,2238
192,3,4383
193,3,2640
194,3,648
195,3,4941
196,,
197,3,3293
198,,
199,3,590
200,3,2023
201,4,4293
202,4,523
203,5,4707
204,3,2262
205,7,1847
206,,
207,4,1995
208,3,4811
209,3,4503
210,5,2544
211,4,1350
212,4,589
213,,
214,5,1141
215,4,1693
216,3,3266
217,3,1940
218,3,3854
219,3,934
220,3,4177
221,,
222,5,2130
223,,
224,5,3184
225,,
226,3,1773
227,4,1610
228,3,3823
229,2,1559
230,2,3246
231,3,4222
232,2,1085
233,3,4811
234,4,1719
235,,
236,4,4850
237,8,1193
238,3,503
239,2,4029
240,,
241,3,969
242,4,2257
243,4,1417
244,5,3330
245,5,266
246,4,3023
247,2,1946
248,3,3552
249,3,2367
250,4,292
251,3,3313
252,3,2426
253,2,83
254,3,3266
255,3,2136
256,6,1982
257,3,50
258,7,2391
259,4,4984
260,3,1176
261,2,4659
